image_id,banana_id,day_number,estimated_days_left
Banana003/banana003_day04.jpeg,Banana003,4,8,
Banana003/banana003_day05.jpeg,Banana003,5,7,
Banana003/banana003_day06.jpeg,Banana003,6,6,
Banana003/banana003_day07.jpeg,Banana003,7,5,
Banana003/banana003_day08.jpeg,Banana003,8,4,
Banana003/banana003_day09.jpeg,Banana003,9,3,
Banana003/banana003_day10.jpeg,Banana003,10,2,
Banana003/banana003_day11.jpg,Banana003,11,1,
Banana003/banana003_day12.jpg,Banana003,12,0,
Banana003/banana003_day13.jpg,Banana003,13,0,
Banana003/banana003_day14.jpg,Banana003,14,0,
Banana003/banana003_day15.jpg,Banana003,15,0,
Banana003/banana003_day16.jpg,Banana003,16,0,
Banana003/banana003_day17.jpg,Banana003,17,0,
Banana003/banana003_day18.jpg,Banana003,18,0,
Banana004/banana004_day01.jpeg,Banana004,1,10,
Banana004/banana004_day02.jpeg,Banana004,2,9,
Banana004/banana004_day03.jpeg,Banana004,3,8,
Banana004/banana004_day04.jpeg,Banana004,4,7,
Banana004/banana004_day05.jpeg,Banana004,5,6,
Banana004/banana004_day06.jpeg,Banana004,6,5,
Banana004/banana004_day07.jpeg,Banana004,7,4,
Banana004/banana004_day08.jpeg,Banana004,8,3,
Banana004/banana004_day09.jpeg,Banana004,9,2,
Banana004/banana004_day10.jpeg,Banana004,10,1,
Banana004/banana004_day11.jpg,Banana004,11,0,
Banana004/banana004_day12.jpg,Banana004,12,0,
Banana004/banana004_day13.jpg,Banana004,13,0,
Banana004/banana004_day14.jpg,Banana004,14,0,
Banana004/banana004_day15.jpg,Banana004,15,0,
Banana004/banana004_day16.jpg,Banana004,16,0,
Banana004/banana004_day17.jpg,Banana004,17,0,
Banana004/banana004_day18.jpg,Banana004,18,0,
Banana005/banana005_day01.jpeg,Banana005,1,9,
Banana005/banana005_day02.jpeg,Banana005,2,8,
Banana005/banana005_day03.jpeg,Banana005,3,7,
Banana005/banana005_day04.jpeg,Banana005,4,6,
Banana005/banana005_day05.jpeg,Banana005,5,5,
Banana005/banana005_day06.jpeg,Banana005,6,4,
Banana005/banana005_day07.jpeg,Banana005,7,3,
Banana005/banana005_day08.jpeg,Banana005,8,2,
Banana005/banana005_day09.jpeg,Banana005,9,1,
Banana005/banana005_day10.jpeg,Banana005,10,0,
Banana005/banana005_day11.jpg,Banana005,11,0,
Banana005/banana005_day12.jpg,Banana005,12,0,
Banana005/banana005_day13.jpg,Banana005,13,0,
Banana005/banana005_day14.jpg,Banana005,14,0,
Banana005/banana005_day15.jpg,Banana005,15,0,
Banana005/banana005_day16.jpg,Banana005,16,0,
Banana005/banana005_day17_img1.jpeg,Banana005,17,0,
Banana005/banana005_day17_img2.jpeg,Banana005,17,0,
Banana005/banana005_day18.jpg,Banana005,18,0,
Banana006/banana006_day01.jpeg,Banana006,1,10,
Banana006/banana006_day02.jpeg,Banana006,2,9,
Banana006/banana006_day03.jpeg,Banana006,3,8,
Banana006/banana006_day04.jpeg,Banana006,4,7,
Banana006/banana006_day05.jpeg,Banana006,5,6,
Banana006/banana006_day06.jpeg,Banana006,6,5,
Banana006/banana006_day07.jpeg,Banana006,7,4,
Banana006/banana006_day08.jpeg,Banana006,8,3,
Banana006/banana006_day09.jpeg,Banana006,9,2,
Banana006/banana006_day10.jpeg,Banana006,10,1,
Banana006/banana006_day11.jpg,Banana006,11,0,
Banana006/banana006_day12.jpg,Banana006,12,0,
Banana006/banana006_day13.jpg,Banana006,13,0,
Banana006/banana006_day14.jpg,Banana006,14,0,
Banana006/banana006_day15_img1.jpeg,Banana006,15,0,
Banana006/banana006_day15_img3.jpeg,Banana006,15,0,
Banana006/banana006_day15_img2.jpeg,Banana006,15,0,
Banana006/banana006_day16.jpg,Banana006,16,0,
Banana006/banana006_day17_img2.jpeg,Banana006,17,0,
Banana006/banana006_day17_img1.jpeg,Banana006,17,0,
Banana006/banana006_day18.jpg,Banana006,18,0,
Banana007/banana007_day01.jpeg,Banana007,1,10,
Banana007/banana007_day02.jpeg,Banana007,2,9,
Banana007/banana007_day03.jpeg,Banana007,3,8,
Banana007/banana007_day04.jpeg,Banana007,4,7,
Banana007/banana007_day05.jpeg,Banana007,5,6,
Banana007/banana007_day06.jpeg,Banana007,6,5,
Banana007/banana007_day07.jpeg,Banana007,7,4,
Banana007/banana007_day08.jpeg,Banana007,8,3,
Banana007/banana007_day09.jpeg,Banana007,9,2,
Banana007/banana007_day10.jpeg,Banana007,10,1,
Banana007/banana007_day11.jpg,Banana007,11,0,
Banana007/banana007_day12.jpg,Banana007,12,0,
Banana007/banana007_day13.jpg,Banana007,13,0,
Banana007/banana007_day14.jpg,Banana007,14,0,
Banana007/banana007_day15.jpg,Banana007,15,0,
Banana007/banana007_day16.jpg,Banana007,16,0,
Banana007/banana007_day17.jpg,Banana007,17,0,
Banana007/banana007_day18.jpg,Banana007,18,0,
Banana008/banana008_day01.jpeg,Banana008,1,10,
Banana008/banana008_day02.jpeg,Banana008,2,9,
Banana008/banana008_day03.jpeg,Banana008,3,8,
Banana008/banana008_day04.jpeg,Banana008,4,7,
Banana008/banana008_day05.jpeg,Banana008,5,6,
Banana008/banana008_day06.jpeg,Banana008,6,5,
Banana008/banana008_day07.jpeg,Banana008,7,4,
Banana008/banana008_day08.jpeg,Banana008,8,3,
Banana008/banana008_day09.jpeg,Banana008,9,2,
Banana008/banana008_day10.jpeg,Banana008,10,1,
Banana008/banana008_day11.jpg,Banana008,11,0,
Banana008/banana008_day12.jpg,Banana008,12,0,
Banana008/banana008_day13.jpg,Banana008,13,0,
Banana008/banana008_day14.jpg,Banana008,14,0,
Banana008/banana008_day15.jpg,Banana008,15,0,
Banana008/banana008_day16.jpg,Banana008,16,0,
Banana008/banana008_day17.jpg,Banana008,17,0,
Banana008/banana008_day18.jpg,Banana008,18,0,
Banana009/banana009_day01.jpeg,Banana009,1,0,
Banana009/banana009_day02.jpeg,Banana009,2,0,
Banana009/banana009_day03.jpeg,Banana009,3,0,
Banana009/banana009_day04.jpeg,Banana009,4,0,
Banana009/banana009_day05.jpeg,Banana009,5,0,
Banana009/banana009_day06.jpeg,Banana009,6,0,
Banana009/banana009_day07.jpeg,Banana009,7,0,
Banana009/banana009_day08.jpg,Banana009,8,0,
Banana009/banana009_day09.jpg,Banana009,9,0,
Banana009/banana009_day10.jpg,Banana009,10,0,
Banana009/banana009_day11.jpg,Banana009,11,0,
Banana009/banana009_day12.jpg,Banana009,12,0,
Banana009/banana009_day13.jpg,Banana009,13,0,
Banana009/banana009_day14_img1.jpeg,Banana009,14,0,
Banana009/banana009_day14_img2.jpeg,Banana009,14,0,
Banana009/banana009_day15.jpg,Banana009,15,0,
Banana010/banana010_day01_img1.jpeg,Banana010,1,4,
Banana010/banana010_day01_img6.jpeg,Banana010,1,4,
Banana010/banana010_day01_img5.jpeg,Banana010,1,4,
Banana010/banana010_day01_img4.jpeg,Banana010,1,4,
Banana010/banana010_day01_img3.jpeg,Banana010,1,4
Banana010/banana010_day01_img2.jpeg,Banana010,1,4,
Banana010/banana010_day02_img3.jpeg,Banana010,2,3,
Banana010/banana010_day02_img2.jpeg,Banana010,2,3,
Banana010/banana010_day02_img5.jpeg,Banana010,2,3,
Banana010/banana010_day02_img4.jpeg,Banana010,2,3,
Banana010/banana010_day02_img7.jpeg,Banana010,2,3,
Banana010/banana010_day02_img6.jpeg,Banana010,2,3,
Banana010/banana010_day02_img1.jpeg,Banana010,2,3,
Banana010/banana010_day03_img5.jpeg,Banana010,3,2,
Banana010/banana010_day03_img4.jpeg,Banana010,3,2,
Banana010/banana010_day03_img3.jpeg,Banana010,3,2,
Banana010/banana010_day03_img2.jpeg,Banana010,3,2,
Banana010/banana010_day03_img1.jpeg,Banana010,3,2,
Banana010/banana010_day03_img6.jpeg,Banana010,3,2,
Banana010/banana010_day04_img2.jpeg,Banana010,4,1,
Banana010/banana010_day04_img3.jpeg,Banana010,4,1,
Banana010/banana010_day04_img4.jpeg,Banana010,4,1,
Banana010/banana010_day04_img5.jpeg,Banana010,4,1,
Banana010/banana010_day04_img6.jpeg,Banana010,4,1,
Banana010/banana010_day04_img1.jpeg,Banana010,4,1,
Banana010/banana010_day05_img4.jpeg,Banana010,5,0,
Banana010/banana010_day05_img5.jpeg,Banana010,5,0,
Banana010/banana010_day05_img2.jpeg,Banana010,5,0,
Banana010/banana010_day05_img3.jpeg,Banana010,5,0,
Banana010/banana010_day05_img1.jpeg,Banana010,5,0,
Banana010/banana010_day05_img6.jpeg,Banana010,5,0,
Banana010/banana010_day06_img1.jpeg,Banana010,6,0,
Banana010/banana010_day06_img2.jpeg,Banana010,6,0,
Banana010/banana010_day06_img3.jpeg,Banana010,6,0
Banana010/banana010_day06_img4.jpeg,Banana010,6,0,
Banana010/banana010_day07.jpeg,Banana010,7,0,
Banana010/banana010_day08_img2.jpeg,Banana010,8,0,
Banana010/banana010_day08_img1.jpeg,Banana010,8,0,
Banana010/banana010_day09_img2.jpeg,Banana010,9,0,
Banana010/banana010_day09_img1.jpeg,Banana010,9,0,
Banana011/banana011_day01_img6.jpeg,Banana011,1,4,
Banana011/banana011_day01_img7.jpeg,Banana011,1,4,
Banana011/banana011_day01_img1.jpeg,Banana011,1,4,
Banana011/banana011_day01_img2.jpeg,Banana011,1,4,
Banana011/banana011_day01_img3.jpeg,Banana011,1,4,
Banana011/banana011_day01_img4.jpeg,Banana011,1,4,
Banana011/banana011_day01_img8.jpeg,Banana011,1,4,
Banana011/banana011_day01_img5.jpeg,Banana011,1,4,
Banana011/banana011_day02_img4.jpeg,Banana011,2,3,
Banana011/banana011_day02_img5.jpeg,Banana011,2,3,
Banana011/banana011_day02_img2.jpeg,Banana011,2,3,
Banana011/banana011_day02_img3.jpeg,Banana011,2,3,
Banana011/banana011_day02_img1.jpeg,Banana011,2,3,
Banana011/banana011_day03_img2.jpeg,Banana011,3,2,
Banana011/banana011_day03_img3.jpeg,Banana011,3,2,
Banana011/banana011_day03_img4.jpeg,Banana011,3,2,
Banana011/banana011_day03_img5.jpeg,Banana011,3,2,
Banana011/banana011_day03_img6.jpeg,Banana011,3,2,
Banana011/banana011_day03_img1.jpeg,Banana011,3,2,
Banana011/banana011_day04_img5.jpeg,Banana011,4,1,
Banana011/banana011_day04_img4.jpeg,Banana011,4,1,
Banana011/banana011_day04_img3.jpeg,Banana011,4,1,
Banana011/banana011_day04_img2.jpeg,Banana011,4,1,
Banana011/banana011_day04_img1.jpeg,Banana011,4,1,
Banana011/banana011_day04_img6.jpeg,Banana011,4,1,
Banana011/banana011_day05_img3.jpeg,Banana011,5,0,
Banana011/banana011_day05_img2.jpeg,Banana011,5,0,
Banana011/banana011_day05_img5.jpeg,Banana011,5,0,
Banana011/banana011_day05_img4.jpeg,Banana011,5,0,
Banana011/banana011_day05_img6.jpeg,Banana011,5,0,
Banana011/banana011_day05_img1.jpeg,Banana011,5,0,
Banana011/banana011_day06_img1.jpeg,Banana011,6,0,
Banana011/banana011_day06_img6.jpeg,Banana011,6,0,
Banana011/banana011_day06_img5.jpeg,Banana011,6,0,
Banana011/banana011_day06_img4.jpeg,Banana011,6,0,
Banana011/banana011_day06_img3.jpeg,Banana011,6,0,
Banana011/banana011_day06_img2.jpeg,Banana011,6,0,
Banana011/banana011_day07_img1.jpeg,Banana011,7,0,
Banana011/banana011_day07_img3.jpeg,Banana011,7,0,
Banana011/banana011_day07_img2.jpeg,Banana011,7,0,
Banana011/banana011_day07_img4.jpeg,Banana011,7,0,
Banana011/banana011_day08_img3.jpeg,Banana011,8,0,
Banana011/banana011_day08_img2.jpeg,Banana011,8,0,
Banana011/banana011_day08_img4.jpeg,Banana011,8,0,
Banana011/banana011_day08_img1.jpeg,Banana011,8,0,
Banana011/banana011_day09_img2.jpeg,Banana011,9,0,
Banana011/banana011_day09_img1.jpeg,Banana011,9,0,
Banana011/banana011_day10_img2.jpeg,Banana011,10,0,
Banana011/banana011_day10_img1.jpeg,Banana011,10,0,
